super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
16,"v3,v1",32,32,1,32,32,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09404159989207983,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
17,"v1,v3",34,34,1,34,34,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09072236204519868,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
18,"v1,v3",36,36,1,36,36,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08582154591567814,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
19,"v1,v3",38,38,1,38,38,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08376497589051723,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
20,"v1,v3",40,40,1,40,40,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08477462106384337,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
21,"v3,v1",42,42,1,42,42,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08978034416213632,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
22,"v3,v1",44,44,1,44,44,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08449288480915129,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
23,"v3,v1",46,46,1,46,46,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08317568595521152,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
24,"v1,v3",48,48,1,48,48,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09435510588809848,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
25,"v1,v3",50,50,1,50,50,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08784987009130418,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
26,"v1,v3",52,52,1,52,52,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09850984998047352,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
27,"v3,v1",54,54,1,54,54,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08516433788463473,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
28,"v3,v1",56,56,1,56,56,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.0875785700045526,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
29,"v1,v3",58,58,1,58,58,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09242794895544648,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
30,"v1,v3",60,60,1,60,60,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08729490893892944,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
31,"v1,v3",62,62,1,62,62,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08416246296837926,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
32,"v3,v1",64,64,1,64,64,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09313175501301885,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
33,"v1,v3",66,66,1,66,66,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08218145812861621,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
