super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,validation_check,validation_checks_cumulative,mean_val_filtered_MRR,best_mean_val_filtered_MRR,cycle_seconds,batches_no_changes,train_loss_no_changes,batches_all_inverse_edges,train_loss_all_inverse_edges,batches_universal_edges,train_loss_universal_edges,val_raw_MRR_no_changes,val_filtered_MRR_no_changes,val_Hits@1_no_changes,val_Hits@3_no_changes,val_Hits@10_no_changes,val_accuracy_no_changes,val_precision_no_changes,val_recall_no_changes,val_macro_f1_no_changes,val_raw_MRR_all_inverse_edges,val_filtered_MRR_all_inverse_edges,val_Hits@1_all_inverse_edges,val_Hits@3_all_inverse_edges,val_Hits@10_all_inverse_edges,val_accuracy_all_inverse_edges,val_precision_all_inverse_edges,val_recall_all_inverse_edges,val_macro_f1_all_inverse_edges,val_raw_MRR_universal_edges,val_filtered_MRR_universal_edges,val_Hits@1_universal_edges,val_Hits@3_universal_edges,val_Hits@10_universal_edges,val_accuracy_universal_edges,val_precision_universal_edges,val_recall_universal_edges,val_macro_f1_universal_edges
27,"universal_edges,all_inverse_edges,no_changes",81,81,3,0.3298456172148387,0,2,,0.007136205832163493,4.67562768002972,1,0.30061301589012146,1,0.2844589352607727,1,0.4044649004936218,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"universal_edges,all_inverse_edges,no_changes",84,84,3,0.4846142629782359,0,2,,0.007136205832163493,4.677479919977486,1,0.3120679557323456,1,0.624317467212677,1,0.5174573659896851,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"universal_edges,no_changes,all_inverse_edges",87,87,3,0.4174092809359233,0,2,,0.007136205832163493,4.673668280011043,1,0.2980573773384094,1,0.5082718133926392,1,0.4458986520767212,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"no_changes,all_inverse_edges,universal_edges",90,90,3,0.5320989688237509,1,3,0.006693813328941663,0.007136205832163493,20.05347456713207,1,0.6114921569824219,1,0.4756097197532654,1,0.5091950297355652,0.005543060135096312,0.005550900008529425,0.0013183915622940012,0.0024719841793012527,0.008899143045484509,0.8529799526930086,0.5389646003154671,0.7636783124588002,0.5356365494075933,0.008946550078690052,0.00903000682592392,0.0013183915622940012,0.007251153592617007,0.01961107448912327,0.8349619346749906,0.5387859513158745,0.7908272907053395,0.5294925568959411,0.00549354637041688,0.005500533152371645,0.000988793671720501,0.0032959789057350032,0.008569545154911009,0.8538201041787843,0.5423812482883772,0.7884937376400791,0.5409530716571487
31,"universal_edges,no_changes,all_inverse_edges",93,93,3,0.40457019209861755,0,3,,0.007136205832163493,4.674097956856713,1,0.35547614097595215,1,0.4095057249069214,1,0.4487287104129791,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"universal_edges,no_changes,all_inverse_edges",96,96,3,0.35852054754892987,0,3,,0.007136205832163493,4.66851077391766,1,0.363486111164093,1,0.29423606395721436,1,0.4178394675254822,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"universal_edges,all_inverse_edges,no_changes",99,99,3,0.3444918592770894,0,3,,0.007136205832163493,4.679669642820954,1,0.3288237452507019,1,0.296276718378067,1,0.4083751142024994,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"universal_edges,all_inverse_edges,no_changes",102,102,3,0.420058141152064,0,3,,0.007136205832163493,4.67433535377495,1,0.5951738357543945,1,0.2688021957874298,1,0.3961983919143677,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"all_inverse_edges,no_changes,universal_edges",105,105,3,0.30747297406196594,0,3,,0.007136205832163493,4.679449399001896,1,0.27323830127716064,1,0.26270565390586853,1,0.38647496700286865,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"no_changes,universal_edges,all_inverse_edges",108,108,3,0.29703142245610553,0,3,,0.007136205832163493,4.670214104931802,1,0.26852142810821533,1,0.25422778725624084,1,0.3683450520038605,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"no_changes,universal_edges,all_inverse_edges",111,111,3,0.2725263635317485,0,3,,0.007136205832163493,4.670702995033935,1,0.24792863428592682,1,0.2218739241361618,1,0.34777653217315674,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"no_changes,universal_edges,all_inverse_edges",114,114,3,0.24957634011904398,0,3,,0.007136205832163493,4.664081898983568,1,0.22712460160255432,1,0.19437715411186218,1,0.32722726464271545,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"universal_edges,no_changes,all_inverse_edges",117,117,3,0.2366956869761149,0,3,,0.007136205832163493,4.663552317069843,1,0.20733007788658142,1,0.18296048045158386,1,0.31979650259017944,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"all_inverse_edges,universal_edges,no_changes",120,120,3,0.2312083641688029,1,4,0.013397471358378729,0.013397471358378729,20.145535417133942,1,0.19290457665920258,1,0.17269743978977203,1,0.3280230760574341,0.01352375652641058,0.013605188578367233,0.0032959789057350032,0.008899143045484509,0.026367831245880026,0.9272816575542544,0.5734361232601096,0.7715326301911667,0.6045765319497935,0.017491456121206284,0.017582910135388374,0.004779169413315755,0.012524719841793012,0.03675016479894529,0.9329429860276345,0.5787418406555012,0.7702208305866842,0.6124500918088632,0.008978220634162426,0.009004315361380577,0.0013183915622940012,0.0042847725774555045,0.012359920896506262,0.935689635115747,0.5811933784560275,0.7674225444957152,0.6158553861035705
41,"all_inverse_edges,no_changes,universal_edges",123,123,3,0.32694866756598157,0,4,,0.013397471358378729,4.672424565069377,1,0.18244551122188568,1,0.17652484774589539,1,0.6218756437301636,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"no_changes,all_inverse_edges,universal_edges",126,126,3,0.2543372263511022,0,4,,0.013397471358378729,4.673591795144603,1,0.19325505197048187,1,0.18249443173408508,1,0.3872621953487396,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"all_inverse_edges,universal_edges,no_changes",129,129,3,0.5363472203413645,0,4,,0.013397471358378729,4.676265279063955,1,0.5432780385017395,1,0.5662432909011841,1,0.49952033162117004,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"all_inverse_edges,no_changes,universal_edges",132,132,3,0.39844528834025067,0,4,,0.013397471358378729,4.671329773962498,1,0.5174567699432373,1,0.21557846665382385,1,0.4623006284236908,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"all_inverse_edges,no_changes,universal_edges",135,135,3,0.2826573650042216,0,4,,0.013397471358378729,4.670276765944436,1,0.24136227369308472,1,0.25351858139038086,1,0.3530912399291992,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"universal_edges,no_changes,all_inverse_edges",138,138,3,0.4244098862012227,0,4,,0.013397471358378729,4.665506866993383,1,0.5137284398078918,1,0.4265083074569702,1,0.33299291133880615,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"no_changes,universal_edges,all_inverse_edges",141,141,3,0.3339061588048935,0,4,,0.013397471358378729,4.678603793028742,1,0.4022417664527893,1,0.24127785861492157,1,0.3581988513469696,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"universal_edges,no_changes,all_inverse_edges",144,144,3,0.4158916473388672,0,4,,0.013397471358378729,4.67796183982864,1,0.5371333956718445,1,0.3419285714626312,1,0.36861297488212585,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"universal_edges,all_inverse_edges,no_changes",147,147,3,0.30973948041598004,0,4,,0.013397471358378729,4.665792764164507,1,0.2991028130054474,1,0.2750823199748993,1,0.3550333082675934,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"all_inverse_edges,universal_edges,no_changes",150,150,3,0.2660546650489171,1,5,0.018865038951237995,0.018865038951237995,20.129114056006074,1,0.22051481902599335,1,0.21645033359527588,1,0.3611988425254822,0.019637493416666985,0.019831577315926552,0.005932762030323006,0.016974291364535266,0.038562953197099535,0.9313531609083976,0.5744790936786187,0.7577818061964403,0.6059909581467905,0.023214126005768776,0.023333987221121788,0.007086354647330257,0.01977587343441002,0.04713249835201055,0.9429924903382579,0.5878639899695018,0.7551582069874753,0.6241490291303776,0.013355567120015621,0.01342955231666565,0.0024719841793012527,0.00873434410019776,0.024060646011865524,0.9256142799901766,0.5695182354736795,0.7593770599868161,0.5985165393332833
51,"universal_edges,all_inverse_edges,no_changes",153,153,3,0.43056880434354144,0,5,,0.018865038951237995,4.678975336020812,1,0.5454729795455933,1,0.23322954773902893,1,0.5130038857460022,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"all_inverse_edges,no_changes,universal_edges",156,156,3,0.26761917769908905,0,5,,0.018865038951237995,4.677389161195606,1,0.20721545815467834,1,0.21504656970500946,1,0.38059550523757935,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"universal_edges,all_inverse_edges,no_changes",159,159,3,0.3567919433116913,0,5,,0.018865038951237995,4.672518061939627,1,0.5001958012580872,1,0.23966214060783386,1,0.33051788806915283,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"no_changes,universal_edges,all_inverse_edges",162,162,3,0.23545114696025848,0,5,,0.018865038951237995,4.671696067089215,1,0.1747913509607315,1,0.17997774481773376,1,0.3515843451023102,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"no_changes,universal_edges,all_inverse_edges",165,165,3,0.287359540661176,0,5,,0.018865038951237995,4.671218828065321,1,0.2000552862882614,1,0.38035884499549866,1,0.28166449069976807,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"all_inverse_edges,universal_edges,no_changes",168,168,3,0.3017854690551758,0,5,,0.018865038951237995,4.673271253937855,1,0.4576732814311981,1,0.1704637110233307,1,0.27721941471099854,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"all_inverse_edges,no_changes,universal_edges",171,171,3,0.1934941162665685,0,5,,0.018865038951237995,4.674483245937154,1,0.16171109676361084,1,0.15103043615818024,1,0.26774081587791443,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"all_inverse_edges,universal_edges,no_changes",174,174,3,0.2479035605986913,0,5,,0.018865038951237995,4.666473684832454,1,0.15731342136859894,1,0.3309873938560486,1,0.2554098665714264,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"no_changes,universal_edges,all_inverse_edges",177,177,3,0.1697294960419337,0,5,,0.018865038951237995,4.6668121630791575,1,0.14836081862449646,1,0.11571663618087769,1,0.24511103332042694,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"no_changes,universal_edges,all_inverse_edges",180,180,3,0.2166052684187889,1,6,0.03634487589200338,0.03634487589200338,20.147263754159212,1,0.1331983506679535,1,0.1083332970738411,1,0.40828415751457214,0.03301209583878517,0.03390755504369736,0.011700725115359262,0.028675016479894528,0.07300593276203032,0.9566158698152959,0.6179603950651293,0.7722808174027687,0.6608396568023496,0.043428294360637665,0.04511220380663872,0.01746868820039552,0.04169413315754779,0.09393539881344759,0.9598795352023473,0.6273128936577772,0.7744297956493078,0.6708273195158149,0.029147827997803688,0.030014868825674057,0.008899143045484509,0.022577455504284773,0.06427158866183257,0.957688678635594,0.6212762614889537,0.7746044825313119,0.6646676478873252
61,"no_changes,all_inverse_edges,universal_edges",183,183,3,0.2337441990772883,0,6,,0.03634487589200338,4.668368541169912,1,0.11801262199878693,1,0.3088622987270355,1,0.2743576765060425,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"all_inverse_edges,no_changes,universal_edges",186,186,3,0.21764844159285227,0,6,,0.03634487589200338,4.67412182292901,1,0.1188582330942154,1,0.2705269157886505,1,0.2635601758956909,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"all_inverse_edges,universal_edges,no_changes",189,189,3,0.16182789703210196,0,6,,0.03634487589200338,4.678209031932056,1,0.13203749060630798,1,0.12955516576766968,1,0.22389103472232819,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"no_changes,all_inverse_edges,universal_edges",192,192,3,0.1560896933078766,0,6,,0.03634487589200338,4.675675417063758,1,0.10422895103693008,1,0.10603400319814682,1,0.25800612568855286,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"universal_edges,all_inverse_edges,no_changes",195,195,3,0.15580968807140985,0,6,,0.03634487589200338,4.667723023099825,1,0.12136658281087875,1,0.12654131650924683,1,0.219521164894104,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"no_changes,all_inverse_edges,universal_edges",198,198,3,0.3036116187771161,0,6,,0.03634487589200338,4.670237052021548,1,0.10439189523458481,1,0.10098771750926971,1,0.7054552435874939,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"no_changes,universal_edges,all_inverse_edges",201,201,3,0.20515257120132446,0,6,,0.03634487589200338,4.66422921186313,1,0.11539357900619507,1,0.20451313257217407,1,0.29555100202560425,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"universal_edges,all_inverse_edges,no_changes",204,204,3,0.24232957263787588,0,6,,0.03634487589200338,4.676408829865977,1,0.12825821340084076,1,0.14523589611053467,1,0.4534946084022522,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"universal_edges,no_changes,all_inverse_edges",207,207,3,0.25483087698618573,0,6,,0.03634487589200338,4.6632710818666965,1,0.13771025836467743,1,0.14777995645999908,1,0.4790024161338806,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"all_inverse_edges,universal_edges,no_changes",210,210,3,0.26055338482062024,1,7,0.0498148538172245,0.0498148538172245,20.112574809929356,1,0.17466427385807037,1,0.10242915153503418,1,0.5045667290687561,0.04794972389936447,0.05034554377198219,0.02076466710613052,0.048450889914304546,0.10893210283454186,0.9076285754908423,0.5630141150794074,0.7928411338167436,0.58660856494207,0.06085406243801117,0.06435009837150574,0.02702702702702703,0.06558998022412657,0.1366183256427159,0.9148861917871961,0.5682418090683199,0.796219512195122,0.5957704236849504,0.03339887782931328,0.03474891930818558,0.01071193144363876,0.031311799604482535,0.07679630850362558,0.8771440019646619,0.5503304135467472,0.7987738958470665,0.5599207576815405
71,"universal_edges,all_inverse_edges,no_changes",213,213,3,0.272995928923289,0,7,,0.0498148538172245,4.687595309922472,1,0.15011674165725708,1,0.17911696434020996,1,0.4897540807723999,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"all_inverse_edges,universal_edges,no_changes",216,216,3,0.26243413984775543,0,7,,0.0498148538172245,4.6897498168982565,1,0.20735689997673035,1,0.12513692677021027,1,0.4548085927963257,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"all_inverse_edges,universal_edges,no_changes",219,219,3,0.20350306729475656,0,7,,0.0498148538172245,4.669055172940716,1,0.12484873086214066,1,0.10637948662042618,1,0.3792809844017029,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"no_changes,all_inverse_edges,universal_edges",222,222,3,0.29996708035469055,0,7,,0.0498148538172245,4.665908562019467,1,0.4851599335670471,1,0.12132823467254639,1,0.29341307282447815,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"no_changes,all_inverse_edges,universal_edges",225,225,3,0.1693047359585762,0,7,,0.0498148538172245,4.664215619908646,1,0.14492930471897125,1,0.10714075714349747,1,0.2558441460132599,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"no_changes,universal_edges,all_inverse_edges",228,228,3,0.22510147094726562,0,7,,0.0498148538172245,4.670334461145103,1,0.09967440366744995,1,0.3461180031299591,1,0.22951200604438782,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"no_changes,all_inverse_edges,universal_edges",231,231,3,0.13986805081367493,0,7,,0.0498148538172245,4.668441102141514,1,0.10197293758392334,1,0.09100374579429626,1,0.22662746906280518,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"no_changes,universal_edges,all_inverse_edges",234,234,3,0.13512153923511505,0,7,,0.0498148538172245,4.674301629886031,1,0.10202100872993469,1,0.09162084758281708,1,0.21172276139259338,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"all_inverse_edges,no_changes,universal_edges",237,237,3,0.13290242354075113,0,7,,0.0498148538172245,4.676189485006034,1,0.1069047674536705,1,0.08255084604024887,1,0.20925165712833405,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"universal_edges,all_inverse_edges,no_changes",240,240,3,0.24267975240945816,1,8,0.0899970605969429,0.0899970605969429,20.115060426993296,1,0.0957920178771019,1,0.25829461216926575,1,0.37395262718200684,0.07314471900463104,0.07847915589809418,0.03922214897824654,0.08091628213579433,0.15771259063941992,0.9558726588855714,0.6175707460969077,0.7783618984838496,0.6612583667703191,0.10111033916473389,0.11017556488513947,0.06048121292023731,0.11832564271588662,0.21308503625576797,0.9597179676089289,0.6294422505044314,0.7854911008569545,0.6747669398360222,0.07542499899864197,0.08133646100759506,0.04021094264996704,0.08536585365853659,0.1643045484508899,0.9526994713508343,0.6137795749395378,0.7933783783783783,0.6588491398866485
81,"universal_edges,no_changes,all_inverse_edges",243,243,3,0.18424300849437714,0,8,,0.0899970605969429,4.667778219096363,1,0.09101046621799469,1,0.12743344902992249,1,0.33428511023521423,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"all_inverse_edges,no_changes,universal_edges",246,246,3,0.12094137569268544,0,8,,0.0899970605969429,4.665987719083205,1,0.07352268695831299,1,0.06971786916255951,1,0.21958357095718384,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"universal_edges,all_inverse_edges,no_changes",249,249,3,0.14134558786948523,0,8,,0.0899970605969429,4.679148851893842,1,0.09303144365549088,1,0.1263962835073471,1,0.20460903644561768,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"all_inverse_edges,no_changes,universal_edges",252,252,3,0.1789228618144989,0,8,,0.0899970605969429,4.677338811103255,1,0.0735303983092308,1,0.10164318233728409,1,0.3615950047969818,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"universal_edges,all_inverse_edges,no_changes",255,255,3,0.28792177389065426,0,8,,0.0899970605969429,4.67513680504635,1,0.4309673309326172,1,0.09963273257017136,1,0.3331652581691742,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"no_changes,universal_edges,all_inverse_edges",258,258,3,0.1434172863761584,0,8,,0.0899970605969429,4.667744544800371,1,0.11246846616268158,1,0.08714260905981064,1,0.23064078390598297,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"universal_edges,no_changes,all_inverse_edges",261,261,3,0.11568540334701538,0,8,,0.0899970605969429,4.683673585997894,1,0.07272975146770477,1,0.07961055636405945,1,0.19471590220928192,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"universal_edges,all_inverse_edges,no_changes",264,264,3,0.10556868712107341,0,8,,0.0899970605969429,4.671816282905638,1,0.06846284866333008,1,0.06024341285228729,1,0.18799979984760284,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"all_inverse_edges,no_changes,universal_edges",267,267,3,0.2275848612189293,0,8,,0.0899970605969429,4.668058498064056,1,0.40986552834510803,1,0.06199399381875992,1,0.21089506149291992,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"all_inverse_edges,no_changes,universal_edges",270,270,3,0.10981597006320953,1,9,0.0972545916835467,0.0972545916835467,20.103033249033615,1,0.07793878763914108,1,0.06883455067873001,1,0.1826745718717575,0.07844500243663788,0.08598017692565918,0.03922214897824654,0.09063941990771258,0.1842452208305867,0.9693473961766644,0.6627724291480062,0.772798286090969,0.7026034178129632,0.09933733940124512,0.10973132401704788,0.053889255108767305,0.11832564271588662,0.23104812129202373,0.972921271343079,0.6835318462165456,0.7781740276862228,0.7203425560501515,0.08633003383874893,0.09605227410793304,0.04515491100856955,0.10398813447593935,0.2020435069215557,0.9685201700983623,0.662555173920929,0.7901417270929466,0.7066859769852457
91,"all_inverse_edges,universal_edges,no_changes",273,273,3,0.09720124428470929,0,9,,0.0972545916835467,4.676929757930338,1,0.06578381359577179,1,0.056028518825769424,1,0.16979140043258667,,,,,,,,,,,,,,,,,,,,,,,,,,,
